station,date,tmax,tmin,tavg,depart,dewpoint,wetbulb,heat,cool,sunrise,sunset,preciptotal,stnpressure,sealevel,resultspeed,resultdir,avgspeed,year,month,day,daylightmins,tminsq,tmaxsq,tavgsq,departsq,wetbulbsq,heatsq,coolsq,preciptotalsq,resultspeedsq,resultdirsq,avgspeedsq,daylightminssq
2,2007-05-09 00:00:00,76,63,70.0,13.0,60,63.0,0.0,5.0,1900-01-01 04:38:00,1900-01-01 18:58:00,0.02,29.28,29.93,3.9,7,5.9,2007,5,9,860.0,3969,5776,4900.0,169.0,3969.0,0.0,25.0,0.0004,15.209999999999999,49,34.81,739600.0
1,2007-05-10 00:00:00,84,56,70.0,14.0,52,60.0,0.0,5.0,1900-01-01 04:37:00,1900-01-01 18:59:00,0.0,29.2,29.92,0.7,17,4.1,2007,5,10,862.0,3136,7056,4900.0,196.0,3600.0,0.0,25.0,0.0,0.48999999999999994,289,16.81,743044.0
2,2007-05-10 00:00:00,83,59,71.0,14.0,52,61.0,0.0,6.0,1900-01-01 04:37:00,1900-01-01 18:59:00,0.0,29.26,29.91,2.0,9,3.9,2007,5,10,862.0,3481,6889,5041.0,196.0,3721.0,0.0,36.0,0.0,4.0,81,15.209999999999999,743044.0
1,2007-05-11 00:00:00,70,51,61.0,4.0,42,51.0,4.0,0.0,1900-01-01 04:36:00,1900-01-01 19:00:00,0.0,29.33,30.04,11.3,3,12.9,2007,5,11,864.0,2601,4900,3721.0,16.0,2601.0,16.0,0.0,0.0,127.69000000000001,9,166.41,746496.0
2,2007-05-11 00:00:00,73,49,61.0,4.0,44,51.0,4.0,0.0,1900-01-01 04:36:00,1900-01-01 19:00:00,0.0,29.39,30.03,11.7,36,12.8,2007,5,11,864.0,2401,5329,3721.0,16.0,2601.0,16.0,0.0,0.0,136.89,1296,163.84000000000003,746496.0
1,2007-05-12 00:00:00,64,46,55.0,-2.0,36,46.0,10.0,0.0,1900-01-01 04:35:00,1900-01-01 19:01:00,0.0,29.49,30.2,12.4,3,12.9,2007,5,12,866.0,2116,4096,3025.0,4.0,2116.0,100.0,0.0,0.0,153.76000000000002,9,166.41,749956.0
2,2007-05-12 00:00:00,65,47,56.0,-2.0,37,46.0,9.0,0.0,1900-01-01 04:35:00,1900-01-01 19:01:00,0.0,29.54,30.19,12.7,1,13.0,2007,5,12,866.0,2209,4225,3136.0,4.0,2116.0,81.0,0.0,0.0,161.29,1,169.0,749956.0
1,2007-05-13 00:00:00,69,43,56.0,-2.0,33,46.0,9.0,0.0,1900-01-01 04:34:00,1900-01-01 19:02:00,0.0,29.49,30.24,6.6,14,8.1,2007,5,13,868.0,1849,4761,3136.0,4.0,2116.0,81.0,0.0,0.0,43.559999999999995,196,65.61,753424.0
2,2007-05-13 00:00:00,69,44,57.0,-2.0,32,46.0,8.0,0.0,1900-01-01 04:34:00,1900-01-01 19:02:00,0.0,29.55,30.24,6.4,11,7.6,2007,5,13,868.0,1936,4761,3249.0,4.0,2116.0,64.0,0.0,0.0,40.96000000000001,121,57.76,753424.0
1,2007-05-14 00:00:00,90,56,73.0,15.0,47,59.0,0.0,8.0,1900-01-01 04:33:00,1900-01-01 19:03:00,0.0,29.23,29.97,16.9,21,17.3,2007,5,14,870.0,3136,8100,5329.0,225.0,3481.0,0.0,64.0,0.0,285.60999999999996,441,299.29,756900.0
2,2007-05-14 00:00:00,90,54,72.0,15.0,45,58.0,0.0,7.0,1900-01-01 04:33:00,1900-01-01 19:03:00,0.0,29.31,29.98,14.1,21,14.6,2007,5,14,870.0,2916,8100,5184.0,225.0,3364.0,0.0,49.0,0.0,198.81,441,213.16,756900.0
1,2007-05-15 00:00:00,80,57,69.0,11.0,56,61.0,0.0,4.0,1900-01-01 04:32:00,1900-01-01 19:04:00,0.38,29.13,29.84,8.1,27,12.3,2007,5,15,872.0,3249,6400,4761.0,121.0,3721.0,0.0,16.0,0.1444,65.61,729,151.29000000000002,760384.0
2,2007-05-15 00:00:00,82,56,69.0,11.0,56,61.0,0.0,4.0,1900-01-01 04:32:00,1900-01-01 19:04:00,0.6,29.19,29.83,8.1,25,10.8,2007,5,15,872.0,3136,6724,4761.0,121.0,3721.0,0.0,16.0,0.36,65.61,625,116.64000000000001,760384.0
1,2007-05-16 00:00:00,66,44,55.0,-4.0,43,48.0,10.0,0.0,1900-01-01 04:31:00,1900-01-01 19:05:00,0.14,29.33,30.03,7.8,36,12.2,2007,5,16,874.0,1936,4356,3025.0,16.0,2304.0,100.0,0.0,0.019600000000000003,60.839999999999996,1296,148.83999999999997,763876.0
2,2007-05-16 00:00:00,64,45,55.0,-4.0,42,47.0,10.0,0.0,1900-01-01 04:31:00,1900-01-01 19:05:00,0.07,29.39,30.03,8.0,36,11.8,2007,5,16,874.0,2025,4096,3025.0,16.0,2209.0,100.0,0.0,0.004900000000000001,64.0,1296,139.24,763876.0
1,2007-05-17 00:00:00,62,43,53.0,-6.0,32,43.0,12.0,0.0,1900-01-01 04:30:00,1900-01-01 19:06:00,0.0,29.55,30.27,10.5,3,11.3,2007,5,17,876.0,1849,3844,2809.0,36.0,1849.0,144.0,0.0,0.0,110.25,9,127.69000000000001,767376.0
2,2007-05-17 00:00:00,61,44,53.0,-6.0,32,43.0,12.0,0.0,1900-01-01 04:30:00,1900-01-01 19:06:00,0.0,29.62,30.27,11.7,1,12.2,2007,5,17,876.0,1936,3721,2809.0,36.0,1849.0,144.0,0.0,0.0,136.89,1,148.83999999999997,767376.0
1,2007-05-18 00:00:00,71,42,57.0,-3.0,30,46.0,8.0,0.0,1900-01-01 04:29:00,1900-01-01 19:07:00,0.0,29.53,30.25,5.4,25,7.5,2007,5,18,878.0,1764,5041,3249.0,9.0,2116.0,64.0,0.0,0.0,29.160000000000004,625,56.25,770884.0
2,2007-05-18 00:00:00,70,43,57.0,-3.0,31,47.0,8.0,0.0,1900-01-01 04:29:00,1900-01-01 19:07:00,0.0,29.6,30.26,3.4,22,5.5,2007,5,18,878.0,1849,4900,3249.0,9.0,2209.0,64.0,0.0,0.0,11.559999999999999,484,30.25,770884.0
1,2007-05-19 00:00:00,80,56,68.0,8.0,39,53.0,0.0,3.0,1900-01-01 04:28:00,1900-01-01 19:08:00,0.0,29.34,30.08,11.1,24,11.4,2007,5,19,880.0,3136,6400,4624.0,64.0,2809.0,0.0,9.0,0.0,123.21,576,129.96,774400.0
2,2007-05-19 00:00:00,80,56,68.0,8.0,37,53.0,0.0,3.0,1900-01-01 04:28:00,1900-01-01 19:08:00,0.0,29.41,30.08,11.1,23,11.4,2007,5,19,880.0,3136,6400,4624.0,64.0,2809.0,0.0,9.0,0.0,123.21,529,129.96,774400.0
1,2007-05-20 00:00:00,69,43,56.0,-5.0,40,44.0,9.0,0.0,1900-01-01 04:27:00,1900-01-01 19:09:00,0.07,29.38,30.11,10.4,4,10.7,2007,5,20,882.0,1849,4761,3136.0,25.0,1936.0,81.0,0.0,0.004900000000000001,108.16000000000001,16,114.48999999999998,777924.0
2,2007-05-20 00:00:00,69,44,57.0,-5.0,41,45.0,8.0,0.0,1900-01-01 04:27:00,1900-01-01 19:09:00,0.11,29.44,30.11,8.6,3,9.7,2007,5,20,882.0,1936,4761,3249.0,25.0,2025.0,64.0,0.0,0.0121,73.96,9,94.08999999999999,777924.0
1,2007-05-21 00:00:00,80,44,62.0,1.0,50,56.0,3.0,0.0,1900-01-01 04:26:00,1900-01-01 19:10:00,0.0,29.33,30.06,6.3,11,8.2,2007,5,21,884.0,1936,6400,3844.0,1.0,3136.0,9.0,0.0,0.0,39.69,121,67.24,781456.0
2,2007-05-21 00:00:00,79,46,63.0,1.0,50,57.0,2.0,0.0,1900-01-01 04:26:00,1900-01-01 19:10:00,0.0,29.39,30.05,6.3,10,7.8,2007,5,21,884.0,2116,6241,3969.0,1.0,3249.0,4.0,0.0,0.0,39.69,100,60.839999999999996,781456.0
1,2007-05-22 00:00:00,87,55,71.0,10.0,46,58.0,0.0,6.0,1900-01-01 04:25:00,1900-01-01 19:11:00,0.0,29.34,30.06,10.0,18,10.2,2007,5,22,886.0,3025,7569,5041.0,100.0,3364.0,0.0,36.0,0.0,100.0,324,104.03999999999999,784996.0
2,2007-05-22 00:00:00,87,60,74.0,10.0,44,58.0,0.0,9.0,1900-01-01 04:25:00,1900-01-01 19:11:00,0.0,29.41,30.05,10.1,16,10.6,2007,5,22,886.0,3600,7569,5476.0,100.0,3364.0,0.0,81.0,0.0,102.00999999999999,256,112.36,784996.0
1,2007-05-23 00:00:00,89,60,75.0,14.0,49,61.0,0.0,10.0,1900-01-01 04:25:00,1900-01-01 19:12:00,0.0,29.39,30.1,11.4,19,11.8,2007,5,23,887.0,3600,7921,5625.0,196.0,3721.0,0.0,100.0,0.0,129.96,361,139.24,786769.0
2,2007-05-23 00:00:00,89,66,78.0,14.0,48,61.0,0.0,13.0,1900-01-01 04:25:00,1900-01-01 19:12:00,0.0,29.47,30.1,10.9,18,11.2,2007,5,23,887.0,4356,7921,6084.0,196.0,3721.0,0.0,169.0,0.0,118.81,324,125.43999999999998,786769.0
1,2007-05-24 00:00:00,88,63,76.0,14.0,54,63.0,0.0,11.0,1900-01-01 04:24:00,1900-01-01 19:13:00,0.02,29.41,30.11,14.9,21,17.3,2007,5,24,889.0,3969,7744,5776.0,196.0,3969.0,0.0,121.0,0.0004,222.01000000000002,441,299.29,790321.0
2,2007-05-24 00:00:00,88,66,77.0,14.0,53,63.0,0.0,12.0,1900-01-01 04:24:00,1900-01-01 19:13:00,0.0,29.47,30.1,13.8,20,15.2,2007,5,24,889.0,4356,7744,5929.0,196.0,3969.0,0.0,144.0,0.0,190.44000000000003,400,231.04,790321.0
1,2007-05-25 00:00:00,70,56,63.0,1.0,44,53.0,2.0,0.0,1900-01-01 04:23:00,1900-01-01 19:14:00,0.0,29.51,30.24,4.9,5,8.8,2007,5,25,891.0,3136,4900,3969.0,1.0,2809.0,4.0,0.0,0.0,24.010000000000005,25,77.44000000000001,793881.0
2,2007-05-25 00:00:00,66,57,62.0,1.0,46,53.0,3.0,0.0,1900-01-01 04:23:00,1900-01-01 19:14:00,0.09,29.57,30.23,4.5,5,8.2,2007,5,25,891.0,3249,4356,3844.0,1.0,2809.0,9.0,0.0,0.0081,20.25,25,67.24,793881.0
1,2007-05-26 00:00:00,65,49,57.0,-5.0,55,56.0,8.0,0.0,1900-01-01 04:22:00,1900-01-01 19:15:00,1.01,29.36,30.11,2.8,17,7.2,2007,5,26,893.0,2401,4225,3249.0,25.0,3136.0,64.0,0.0,1.0201,7.839999999999999,289,51.84,797449.0
2,2007-05-26 00:00:00,70,50,60.0,-5.0,55,57.0,5.0,0.0,1900-01-01 04:22:00,1900-01-01 19:15:00,0.28,29.42,30.1,2.5,15,7.8,2007,5,26,893.0,2500,4900,3600.0,25.0,3249.0,25.0,0.0,0.07840000000000001,6.25,225,60.839999999999996,797449.0
1,2007-05-27 00:00:00,75,57,66.0,4.0,47,56.0,0.0,1.0,1900-01-01 04:22:00,1900-01-01 19:16:00,0.04,29.34,30.06,8.9,26,9.5,2007,5,27,894.0,3249,5625,4356.0,16.0,3136.0,0.0,1.0,0.0016,79.21000000000001,676,90.25,799236.0
2,2007-05-27 00:00:00,75,59,67.0,4.0,49,57.0,0.0,2.0,1900-01-01 04:22:00,1900-01-01 19:16:00,0.08,29.41,30.05,8.2,24,9.2,2007,5,27,894.0,3481,5625,4489.0,16.0,3249.0,0.0,4.0,0.0064,67.24,576,84.63999999999999,799236.0
1,2007-05-28 00:00:00,79,50,65.0,2.0,47,56.0,0.0,0.0,1900-01-01 04:21:00,1900-01-01 19:16:00,0.0,29.43,30.15,4.8,10,5.3,2007,5,28,895.0,2500,6241,4225.0,4.0,3136.0,0.0,0.0,0.0,23.04,100,28.09,801025.0
2,2007-05-28 00:00:00,76,54,65.0,2.0,49,57.0,0.0,0.0,1900-01-01 04:21:00,1900-01-01 19:16:00,0.0,29.49,30.14,4.7,8,5.2,2007,5,28,895.0,2916,5776,4225.0,4.0,3249.0,0.0,0.0,0.0,22.090000000000003,64,27.040000000000003,801025.0
1,2007-05-29 00:00:00,88,60,74.0,10.0,58,65.0,0.0,9.0,1900-01-01 04:21:00,1900-01-01 19:17:00,0.0,29.39,30.11,5.8,18,6.5,2007,5,29,896.0,3600,7744,5476.0,100.0,4225.0,0.0,81.0,0.0,33.64,324,42.25,802816.0
2,2007-05-29 00:00:00,88,65,77.0,10.0,59,66.0,0.0,12.0,1900-01-01 04:21:00,1900-01-01 19:17:00,0.0,29.44,30.09,5.8,16,7.4,2007,5,29,896.0,4225,7744,5929.0,100.0,4356.0,0.0,144.0,0.0,33.64,256,54.760000000000005,802816.0
1,2007-05-30 00:00:00,87,66,77.0,13.0,58,65.0,0.0,12.0,1900-01-01 04:20:00,1900-01-01 19:18:00,0.0,29.31,30.04,10.3,19,10.6,2007,5,30,898.0,4356,7569,5929.0,169.0,4225.0,0.0,144.0,0.0,106.09000000000002,361,112.36,806404.0
2,2007-05-30 00:00:00,89,70,80.0,13.0,57,66.0,0.0,15.0,1900-01-01 04:20:00,1900-01-01 19:18:00,0.0,29.38,30.03,9.7,17,10.1,2007,5,30,898.0,4900,7921,6400.0,169.0,4356.0,0.0,225.0,0.0,94.08999999999999,289,102.00999999999999,806404.0
1,2007-05-31 00:00:00,78,65,72.0,8.0,61,65.0,0.0,7.0,1900-01-01 04:20:00,1900-01-01 19:19:00,0.01,29.28,30.0,9.3,19,9.9,2007,5,31,899.0,4225,6084,5184.0,64.0,4225.0,0.0,49.0,0.0001,86.49000000000001,361,98.01,808201.0
2,2007-05-31 00:00:00,80,68,74.0,8.0,61,66.0,0.0,9.0,1900-01-01 04:20:00,1900-01-01 19:19:00,0.53,29.34,29.99,8.9,18,9.2,2007,5,31,899.0,4624,6400,5476.0,64.0,4356.0,0.0,81.0,0.28090000000000004,79.21000000000001,324,84.63999999999999,808201.0
1,2007-06-01 00:00:00,85,62,74.0,10.0,63,66.0,0.0,9.0,1900-01-01 04:19:00,1900-01-01 19:20:00,0.19,29.19,29.91,4.2,17,6.4,2007,6,1,901.0,3844,7225,5476.0,100.0,4356.0,0.0,81.0,0.0361,17.64,289,40.96000000000001,811801.0
2,2007-06-01 00:00:00,86,67,77.0,10.0,63,67.0,0.0,12.0,1900-01-01 04:19:00,1900-01-01 19:20:00,0.21,29.25,29.9,4.7,16,5.8,2007,6,1,901.0,4489,7396,5929.0,100.0,4489.0,0.0,144.0,0.04409999999999999,22.090000000000003,256,33.64,811801.0
1,2007-06-02 00:00:00,81,65,73.0,9.0,63,67.0,0.0,8.0,1900-01-01 04:19:00,1900-01-01 19:20:00,0.04,29.03,29.77,6.5,22,7.4,2007,6,2,901.0,4225,6561,5329.0,81.0,4489.0,0.0,64.0,0.0016,42.25,484,54.760000000000005,811801.0
2,2007-06-02 00:00:00,81,68,75.0,9.0,62,67.0,0.0,10.0,1900-01-01 04:19:00,1900-01-01 19:20:00,0.0,29.1,29.76,7.5,21,8.2,2007,6,2,901.0,4624,6561,5625.0,81.0,4489.0,0.0,100.0,0.0,56.25,441,67.24,811801.0
1,2007-06-03 00:00:00,78,62,70.0,6.0,60,63.0,0.0,5.0,1900-01-01 04:18:00,1900-01-01 19:21:00,0.01,28.82,29.56,5.2,25,6.7,2007,6,3,903.0,3844,6084,4900.0,36.0,3969.0,0.0,25.0,0.0001,27.040000000000003,625,44.89,815409.0
2,2007-06-03 00:00:00,77,64,71.0,6.0,60,64.0,0.0,6.0,1900-01-01 04:18:00,1900-01-01 19:21:00,0.32,28.87,29.54,4.9,24,7.2,2007,6,3,903.0,4096,5929,5041.0,36.0,4096.0,0.0,36.0,0.1024,24.010000000000005,576,51.84,815409.0
1,2007-06-04 00:00:00,71,58,65.0,1.0,58,60.0,0.0,0.0,1900-01-01 04:18:00,1900-01-01 19:22:00,0.39,28.82,29.52,7.8,31,9.7,2007,6,4,904.0,3364,5041,4225.0,1.0,3600.0,0.0,0.0,0.1521,60.839999999999996,961,94.08999999999999,817216.0
2,2007-06-04 00:00:00,72,56,64.0,1.0,57,60.0,1.0,0.0,1900-01-01 04:18:00,1900-01-01 19:22:00,0.31,28.88,29.51,7.9,30,10.1,2007,6,4,904.0,3136,5184,4096.0,1.0,3600.0,1.0,0.0,0.0961,62.410000000000004,900,102.00999999999999,817216.0
1,2007-06-05 00:00:00,64,47,56.0,-9.0,48,51.0,9.0,0.0,1900-01-01 04:17:00,1900-01-01 19:23:00,0.42,29.1,29.79,5.2,5,7.6,2007,6,5,906.0,2209,4096,3136.0,81.0,2601.0,81.0,0.0,0.17639999999999997,27.040000000000003,25,57.76,820836.0
2,2007-06-05 00:00:00,63,51,57.0,-9.0,47,52.0,8.0,0.0,1900-01-01 04:17:00,1900-01-01 19:23:00,0.27,29.16,29.78,6.2,3,8.1,2007,6,5,906.0,2601,3969,3249.0,81.0,2704.0,64.0,0.0,0.0729,38.440000000000005,9,65.61,820836.0
1,2007-06-06 00:00:00,71,44,58.0,-8.0,48,55.0,7.0,0.0,1900-01-01 04:17:00,1900-01-01 19:23:00,0.01,29.07,29.81,10.8,17,11.4,2007,6,6,906.0,1936,5041,3364.0,64.0,3025.0,49.0,0.0,0.0001,116.64000000000001,289,129.96,820836.0
2,2007-06-06 00:00:00,73,48,61.0,-8.0,47,55.0,4.0,0.0,1900-01-01 04:17:00,1900-01-01 19:23:00,0.0,29.13,29.82,9.6,15,10.6,2007,6,6,906.0,2304,5329,3721.0,64.0,3025.0,16.0,0.0,0.0,92.16,225,112.36,820836.0
1,2007-06-07 00:00:00,91,71,81.0,15.0,62,69.0,0.0,16.0,1900-01-01 04:17:00,1900-01-01 19:24:00,0.0,28.84,29.55,22.7,20,23.1,2007,6,7,907.0,5041,8281,6561.0,225.0,4761.0,0.0,256.0,0.0,515.29,400,533.61,822649.0
2,2007-06-07 00:00:00,92,71,82.0,15.0,61,68.0,0.0,17.0,1900-01-01 04:17:00,1900-01-01 19:24:00,0.0,28.91,29.55,20.3,19,20.7,2007,6,7,907.0,5041,8464,6724.0,225.0,4624.0,0.0,289.0,0.0,412.09000000000003,361,428.48999999999995,822649.0
1,2007-06-08 00:00:00,81,57,69.0,3.0,53,61.0,0.0,4.0,1900-01-01 04:17:00,1900-01-01 19:25:00,0.0,29.18,29.85,10.9,28,13.8,2007,6,8,908.0,3249,6561,4761.0,9.0,3721.0,0.0,16.0,0.0,118.81,784,190.44000000000003,824464.0
2,2007-06-08 00:00:00,81,63,72.0,3.0,54,62.0,0.0,7.0,1900-01-01 04:17:00,1900-01-01 19:25:00,0.0,29.24,29.83,9.3,26,12.4,2007,6,8,908.0,3969,6561,5184.0,9.0,3844.0,0.0,49.0,0.0,86.49000000000001,676,153.76000000000002,824464.0
1,2007-06-09 00:00:00,79,52,66.0,0.0,47,57.0,0.0,1.0,1900-01-01 04:16:00,1900-01-01 19:25:00,0.0,29.36,30.07,0.3,33,5.0,2007,6,9,909.0,2704,6241,4356.0,0.0,3249.0,0.0,1.0,0.0,0.09,1089,25.0,826281.0
2,2007-06-09 00:00:00,79,57,68.0,0.0,49,58.0,0.0,3.0,1900-01-01 04:16:00,1900-01-01 19:25:00,0.0,29.42,30.05,2.4,19,4.7,2007,6,9,909.0,3249,6241,4624.0,0.0,3364.0,0.0,9.0,0.0,5.76,361,22.090000000000003,826281.0
1,2007-06-10 00:00:00,81,55,68.0,1.0,51,59.0,0.0,3.0,1900-01-01 04:16:00,1900-01-01 19:26:00,0.0,29.34,30.05,4.8,17,5.6,2007,6,10,910.0,3025,6561,4624.0,1.0,3481.0,0.0,9.0,0.0,23.04,289,31.359999999999996,828100.0
2,2007-06-10 00:00:00,81,61,71.0,1.0,50,60.0,0.0,6.0,1900-01-01 04:16:00,1900-01-01 19:26:00,0.0,29.39,30.04,4.6,16,5.8,2007,6,10,910.0,3721,6561,5041.0,1.0,3600.0,0.0,36.0,0.0,21.159999999999997,256,33.64,828100.0
1,2007-06-11 00:00:00,86,58,72.0,5.0,52,61.0,0.0,7.0,1900-01-01 04:16:00,1900-01-01 19:26:00,0.0,29.41,30.11,4.9,11,6.9,2007,6,11,910.0,3364,7396,5184.0,25.0,3721.0,0.0,49.0,0.0,24.010000000000005,121,47.61000000000001,828100.0
2,2007-06-11 00:00:00,85,65,75.0,5.0,51,61.0,0.0,10.0,1900-01-01 04:16:00,1900-01-01 19:26:00,0.0,29.47,30.09,6.6,9,8.4,2007,6,11,910.0,4225,7225,5625.0,25.0,3721.0,0.0,100.0,0.0,43.559999999999995,81,70.56,828100.0
1,2007-06-12 00:00:00,83,62,73.0,5.0,50,60.0,0.0,8.0,1900-01-01 04:16:00,1900-01-01 19:27:00,0.0,29.44,30.16,8.3,5,8.8,2007,6,12,911.0,3844,6889,5329.0,25.0,3600.0,0.0,64.0,0.0,68.89000000000001,25,77.44000000000001,829921.0
2,2007-06-12 00:00:00,82,66,74.0,5.0,51,61.0,0.0,9.0,1900-01-01 04:16:00,1900-01-01 19:27:00,0.0,29.49,30.14,9.4,5,10.0,2007,6,12,911.0,4356,6724,5476.0,25.0,3721.0,0.0,81.0,0.0,88.36000000000001,25,100.0,829921.0
1,2007-06-13 00:00:00,87,60,74.0,6.0,53,62.0,0.0,9.0,1900-01-01 04:16:00,1900-01-01 19:27:00,0.0,29.36,30.09,7.2,5,8.6,2007,6,13,911.0,3600,7569,5476.0,36.0,3844.0,0.0,81.0,0.0,51.84,25,73.96,829921.0
2,2007-06-13 00:00:00,86,68,77.0,6.0,53,62.0,0.0,12.0,1900-01-01 04:16:00,1900-01-01 19:27:00,0.0,29.28,29.97,7.0,5,8.1,2007,6,13,911.0,4624,7396,5929.0,36.0,3844.0,0.0,144.0,0.0,49.0,25,65.61,829921.0
1,2007-06-14 00:00:00,89,64,77.0,9.0,55,64.0,0.0,12.0,1900-01-01 04:16:00,1900-01-01 19:28:00,0.0,29.3,30.02,5.6,5,6.8,2007,6,14,912.0,4096,7921,5929.0,81.0,4096.0,0.0,144.0,0.0,31.359999999999996,25,46.239999999999995,831744.0
2,2007-06-14 00:00:00,89,68,79.0,9.0,54,63.0,0.0,14.0,1900-01-01 04:16:00,1900-01-01 19:28:00,0.0,29.36,30.0,5.9,7,6.4,2007,6,14,912.0,4624,7921,6241.0,81.0,3969.0,0.0,196.0,0.0,34.81,49,40.96000000000001,831744.0
